id_tweet,text_tweet
1031467205823750144,"thank team"
1031468672378785793,"is there ani reason in particular that my msdn subscript doe n t allow me to create ani compute re"
1031468984871211008,"hi team my log analyt workspace do n t work no access no data noth even blade of la on porta"
1031471000364318721,"dm ed thank"
1031471422927978496,"creat storage account in west europe fail with the request can not be interpret as valid json"
1031471892492967937,"i have the same issue multiple loganalyt workspac not respond in the portal"
1031472518517932032,"thank though i have anoth question about thi if i can dm you"
1031472846894194688,"same for us use la in west europe dashboard chart not load also oms"
1031473397321138176,"hey i m have trouble deploy to an app service can i dm you detail please"
1031473411816611840,"just update the payment inform of my subscript but it is not reactiv i want my websit to be up again"
1031475222300577793,"i get an error creat a storage account the request can not be interpret as valid json sku"
1031475663235104768,"same issue here"
1031475901496811523,"we re get thi in west europe too so it not subscript specif"
1031483220884373504,"i got the same view from both chrome and edge it appear to have fix itself now though"
1031483885014720512,"have thi issue as well creat storage account and manag disk via portal amp terraform"
1031491918818156544,"it s work now"
1031496147888693248,ping
1031502488921358336,"problem with azure storage in west europe all deploy fail on all subcriptions account"
1031502946197037057,"i m current get error intern error in disk manag when attempt to provis a vm and"
1031503428323868672,"thank for your servic we are observ issu while scale up delet and creat ak cluster"
1031504763014340609,"thi occur everi time i tri to create a storage account via the portal ani idea"
1031508462541447168,"aztechhelp ca n t make storage account in west europe there is an statu alert"
1031508829530468354,"engin are aware of an issue affect resourc in west europe please refer to for updat"
1031512988623294464,"engin are aware of an issue affect resourc in west europe please refer to for updat"
1031513373643431938,"azcommun hello guy i m have issue choos the price tier for cognitive service face api"
1031515489598623745,thank
1031515997260443648,"engin are aware of an issue affect resourc in west europe please refer to for updat"
1031522758352457729,"atm we are get the gateway did not receive a response from microsoft web within the specified"
1031523671783833600,"aztechhelp our website is not load"
1031526530596388865,"sure you should have receiv the message right now thank for repli so fast"
1031528076566507525,"hey engin are aware of an issue affect resourc in west europe please refer to http"
1031529204339359746,"regard update your legaci key for cloud servic web role to enhance secur how can i confi"
1031530515336257536,"have they run out of resourc in the dc again justsay"
1031532261336903680,"yep check"
1031532354735624193,"i m also have thi issue wast hour lolol"
1031535520537616384,"aztechhelp i have notic in monitor that ping request monitor now no longer support tls"
1031535659125800960,"aztechhelp same is true for invoke webrequest but can be fix by net servicepointmanag ecuri"
1031535892677238784,"doe anyone know how to get the secur centre to rescan for recommend i have fix some and want th"
1031537665995427840,"aztechhelp i m tri to deploy a linux vm but all my effort end in a failure with a code diskser"
1031539300263964673,"no unfortun that site doe not tell me how to rescan my system or when azure might rescan them for me"
1031540844996775944,"do you have a tutori like thi that includ actual task code tanomi is alreadi tricki in"
1031543477107089408,"aztechhelp i m tri to deploy a linux vm but all my effort end in a failure with a code diskservice"
1031543525962403840,"someht wrong with sspr page"
1031544807884242944,done
1031544874871472128,"hello that site doe not say how i can rescan or when azure rescan the subscript of recom"
1031544967460737025,"yeah i understand i would still encourage to think about how to make get start with ba"
1031547542306267136,"sure will do"
